,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Employment Labor Force,Poverty Rate,Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude,Employment_PCT,Recommended,Another_Store_Present
0,08518,5217.0,41.5,74286.0,33963.0,170.0,3220.0,3.258577726662833,,,,,,,,,,,,,,61.72129576384896,Y,0
1,08520,27468.0,37.4,90293.0,37175.0,1834.0,16187.0,6.6768603465851175,,,,,,,,,,,,,,58.93039172855686,Y,0
3,08527,54867.0,42.2,88588.0,37021.0,2191.0,29204.0,3.9932928718537553,,,,,,,,,,,,,,53.226894125795106,Y,0
5,08530,7568.0,43.8,87396.0,46371.0,249.0,4058.0,3.290169133192389,,,,,,,,,,,,,,53.620507399577164,Y,0
6,08533,6789.0,41.0,85301.0,30981.0,459.0,3532.0,6.760936809544852,,,,,,,,,,,,,,52.02533510089851,Y,0
9,08536,19944.0,34.0,90089.0,46406.0,673.0,11609.0,3.3744484556758927,,,,,,,,,,,,,,58.20798235058163,Y,0
15,08554,4023.0,39.6,71750.0,30004.0,169.0,2217.0,4.200845140442456,,,,,,,,,,,,,,55.10812826249068,Y,0
16,08555,812.0,40.3,78083.0,30321.0,70.0,407.0,8.620689655172415,,,,,,,,,,,,,,50.12315270935961,Y,0
21,08562,5713.0,34.9,65036.0,26970.0,485.0,3102.0,8.489410117276387,,,,,,,,,,,,,,54.29721687379661,Y,0
24,08610,29222.0,38.5,61016.0,28416.0,3005.0,16691.0,10.28334816234344,,,,,,,,,,,,,,57.117924851139556,Y,0
26,08618,38057.0,32.5,41757.0,21134.0,7953.0,18103.0,20.897600966970597,,,,,,,,,,,,,,47.56812150195759,Y,0
27,08619,23175.0,42.3,72330.0,34252.0,1017.0,13518.0,4.388349514563107,,,,,,,,,,,,,,58.33009708737864,Y,0
28,08620,12638.0,43.2,88438.0,33407.0,359.0,6488.0,2.8406393416679854,,,,,,,,,,,,,,51.33723690457351,Y,0
29,08628,9579.0,42.7,80449.0,39103.0,581.0,5107.0,6.06535128927863,,,,,,,,,,,,,,53.31454222778996,Y,0
30,08629,12450.0,32.6,54956.0,21054.0,1961.0,7221.0,15.751004016064257,,,,,,,,,,,,,,58.0,Y,0
31,08638,23466.0,38.0,58371.0,24937.0,4280.0,12299.0,18.239154521435267,,,,,,,,,,,,,,52.41200034091877,Y,0
34,08648,32300.0,37.2,86451.0,38044.0,1761.0,18534.0,5.452012383900929,,,,,,,,,,,,,,57.38080495356037,Y,0
39,08721,20789.0,41.4,78847.0,33094.0,944.0,11285.0,4.540862956371158,,,,,,,,,,,,,,54.28351532060224,Y,0
40,08722,11105.0,35.0,80386.0,30816.0,720.0,6161.0,6.483565961278703,,,,,,,,,,,,,,55.4795137325529,Y,0
41,08723,31769.0,43.1,66233.0,33114.0,2000.0,17101.0,6.295445245364978,,,,,,,,,,,,,,53.829204570493246,Y,0
42,08724,42866.0,43.7,69797.0,33568.0,2318.0,23075.0,5.407549106517986,,,,,,,,,,,,,,53.830541688051134,Y,0
44,08731,19868.0,42.6,64357.0,30511.0,1491.0,10970.0,7.504529897322327,,,,,,,,,,,,,,55.214415139923496,Y,0
46,08733,2787.0,33.0,60556.0,24717.0,256.0,1530.0,9.185504126300682,,,,,,,,,,,,,,54.89773950484392,Y,0
47,08734,7907.0,43.3,86357.0,36882.0,332.0,4499.0,4.198811179967118,,,,,,,,,,,,,,56.898950297205005,Y,0
51,08740,1961.0,41.8,62857.0,29916.0,244.0,1097.0,12.44263131055584,,,,,,,,,,,,,,55.94084650688424,Y,0
52,08741,2591.0,40.3,86146.0,34881.0,86.0,1461.0,3.31918178309533,,,,,,,,,,,,,,56.387495175607874,Y,0
53,08742,24377.0,43.8,77700.0,39316.0,1636.0,13475.0,6.711244205603643,,,,,,,,,,,,,,55.27751569102023,Y,0
57,08753,63891.0,40.3,76202.0,34756.0,4238.0,36104.0,6.633172121269037,,,,,,,,,,,,,,56.508741450282514,Y,0
65,08805,12340.0,35.7,67040.0,31531.0,949.0,7193.0,7.690437601296597,,,,,,,,,,,,,,58.29011345218801,Y,0
67,08808,52.0,40.3,54167.0,29587.0,4.0,36.0,7.6923076923076925,,,,,,,,,,,,,,69.23076923076923,Y,0
72,08817,44646.0,35.5,85152.0,33677.0,3276.0,24804.0,7.337723424270932,,,,,,,,,,,,,,55.55704878376562,Y,0
81,08828,2360.0,40.0,78958.0,34618.0,112.0,1368.0,4.745762711864407,,,,,,,,,,,,,,57.96610169491525,Y,0
83,08830,18559.0,39.3,83581.0,33236.0,1228.0,9810.0,6.616735815507301,,,,,,,,,,,,,,52.85845142518455,Y,0
87,08835,10400.0,41.3,62583.0,29298.0,723.0,6107.0,6.951923076923077,,,,,,,,,,,,,,58.72115384615385,Y,0
89,08837,16030.0,38.2,74589.0,35025.0,1085.0,8638.0,6.7685589519650655,,,,,,,,,,,,,,53.88646288209607,Y,0
92,08846,13703.0,41.6,80833.0,33458.0,257.0,7596.0,1.87550171495293,,,,,,,,,,,,,,55.4331168357294,Y,0
97,08854,56874.0,33.2,91164.0,32262.0,2827.0,30118.0,4.970636846362134,,,,,,,,,,,,,,52.9556563631888,Y,0
100,08859,21594.0,38.9,79835.0,35353.0,1312.0,12116.0,6.075761785681208,,,,,,,,,,,,,,56.1081781976475,Y,0
101,08861,53415.0,33.0,45601.0,19501.0,12427.0,24686.0,23.265000468033325,,,,,,,,,,,,,,46.215482542357016,Y,0
102,08863,12342.0,38.8,74836.0,31089.0,963.0,6940.0,7.802625182304327,,,,,,,,,,,,,,56.23075676551613,Y,0
103,08865,29824.0,40.9,55599.0,27067.0,3652.0,15626.0,12.245171673819742,,,,,,,,,,,,,,52.394045064377686,Y,0
105,08869,7058.0,37.8,76250.0,35079.0,737.0,3872.0,10.44205157268348,,,,,,,,,,,,,,54.85973363559082,Y,0
106,08872,20041.0,37.7,72956.0,32666.0,1276.0,10478.0,6.366947757097949,,,,,,,,,,,,,,52.28282021855197,Y,0
107,08873,51048.0,40.0,85148.0,37985.0,3307.0,26909.0,6.47821658047328,,,,,,,,,,,,,,52.71313273781539,Y,0
108,08876,22268.0,39.8,89242.0,41896.0,1019.0,12757.0,4.57607328902461,,,,,,,,,,,,,,57.288485719418,Y,0
109,08879,22974.0,40.9,72508.0,34654.0,1300.0,12863.0,5.658570558022112,,,,,,,,,,,,,,55.98937929833725,Y,0
110,08880,4584.0,35.9,71607.0,31046.0,369.0,2599.0,8.049738219895287,,,,,,,,,,,,,,56.697207678883075,Y,0
111,08882,16079.0,38.6,66327.0,27054.0,1683.0,9086.0,10.467068847565146,,,,,,,,,,,,,,56.5084893339138,Y,0
112,08884,8309.0,41.9,76681.0,33593.0,283.0,4558.0,3.405945360452521,,,,,,,,,,,,,,54.856180045733545,Y,0
114,08887,1079.0,43.5,64205.0,39043.0,72.0,616.0,6.672845227062094,,,,,,,,,,,,,,57.08989805375347,Y,0
118,08902,41774.0,36.3,81531.0,35200.0,2297.0,23745.0,5.498635514913583,,,,,,,,,,,,,,56.84157609996649,Y,0
119,08904,14136.0,33.3,73789.0,39800.0,1632.0,8079.0,11.544991511035654,,,,,,,,,,,,,,57.15195246179966,Y,0
378,10304,43084.0,34.8,53168.0,27103.0,8444.0,20123.0,19.598923034072975,,,,,,,,,,,,,,46.706433942995076,Y,0
379,10305,42006.0,39.9,70758.0,30172.0,4464.0,19787.0,10.627053278103128,,,,,,,,,,,,,,47.10517545112603,Y,0
382,10307,14829.0,37.4,86457.0,36028.0,666.0,7084.0,4.491199676309933,,,,,,,,,,,,,,47.77125901948884,Y,0
430,10509,20209.0,41.1,90437.0,41563.0,1406.0,11956.0,6.957296254144193,,,,,,,,,,,,,,59.161759612054034,Y,0
435,10516,5223.0,43.2,81442.0,44447.0,284.0,2700.0,5.437488033697109,,,,,,,,,,,,,,51.69442848937393,Y,0
467,10566,23702.0,39.7,58226.0,30011.0,3298.0,13926.0,13.914437600202515,,,,,,,,,,,,,,58.754535482237785,Y,0
482,10591,22890.0,39.3,80814.0,46546.0,1924.0,12670.0,8.405417212756662,,,,,,,,,,,,,,55.35168195718654,Y,0
485,10596,1270.0,37.7,52051.0,24923.0,100.0,701.0,7.874015748031496,,,,,,,,,,,,,,55.196850393700785,Y,0
522,10918,12043.0,40.0,87114.0,36372.0,508.0,6697.0,4.218218051980403,,,,,,,,,,,,,,55.60906750809599,Y,0
526,10922,1355.0,42.1,87566.0,36562.0,114.0,837.0,8.413284132841328,,,,,,,,,,,,,,61.77121771217712,Y,0
527,10923,8797.0,36.6,88047.0,31107.0,1081.0,4922.0,12.288280095487098,,,,,,,,,,,,,,55.950892349664656,Y,0
528,10924,13141.0,41.3,84661.0,36792.0,579.0,6348.0,4.406057377672932,,,,,,,,,,,,,,48.30682596453847,Y,0
529,10925,4446.0,40.4,66888.0,41951.0,438.0,2507.0,9.851551956815115,,,,,,,,,,,,,,56.387764282501124,Y,0
531,10927,11952.0,32.5,55556.0,25685.0,1948.0,6606.0,16.298527443105755,,,,,,,,,,,,,,55.2710843373494,Y,0
534,10931,950.0,42.5,78750.0,32285.0,117.0,532.0,12.31578947368421,,,,,,,,,,,,,,56.0,Y,0
